region	chr	midPos	Nsites
(19693,20192)(19700,20199)(19700,20200)	Mt	19950	501	0.024572
(19793,20292)(19800,20299)(19800,20300)	Mt	20050	501	0.027962
(19893,20392)(19900,20399)(19900,20400)	Mt	20150	501	0.028123
(19993,20492)(20000,20499)(20000,20500)	Mt	20250	501	0.031276
(20093,20592)(20100,20599)(20100,20600)	Mt	20350	501	0.033027
(20193,20692)(20200,20699)(20200,20700)	Mt	20450	501	0.034460
(20293,20792)(20300,20799)(20300,20800)	Mt	20550	501	0.035779
(20393,20892)(20400,20899)(20400,20900)	Mt	20650	501	0.033225
(20493,20992)(20500,20999)(20500,21000)	Mt	20750	501	0.031630
(20593,21092)(20600,21099)(20600,21100)	Mt	20850	501	0.026306
(20693,21192)(20700,21199)(20700,21200)	Mt	20950	501	0.026789
(20793,21292)(20800,21299)(20800,21300)	Mt	21050	501	0.025248
(20893,21392)(20900,21399)(20900,21400)	Mt	21150	501	0.025791
(20993,21492)(21000,21499)(21000,21500)	Mt	21250	501	0.026506
(21093,21592)(21100,21599)(21100,21600)	Mt	21350	501	0.028268
(21193,21692)(21200,21699)(21200,21700)	Mt	21450	501	0.027198
(21293,21792)(21300,21799)(21300,21800)	Mt	21550	501	0.025754
(21393,21892)(21400,21899)(21400,21900)	Mt	21650	501	0.022961
(21493,21992)(21500,21999)(21500,22000)	Mt	21750	501	0.021200
(21593,22092)(21600,22099)(21600,22100)	Mt	21850	501	0.023418
(21693,22192)(21700,22199)(21700,22200)	Mt	21950	501	0.021844
(21793,22292)(21800,22299)(21800,22300)	Mt	22050	501	0.020769
(21893,22392)(21900,22399)(21900,22400)	Mt	22150	501	0.022449
(21993,22492)(22000,22499)(22000,22500)	Mt	22250	501	0.026888
(22093,22592)(22100,22599)(22100,22600)	Mt	22350	501	0.026480
(22193,22692)(22200,22699)(22200,22700)	Mt	22450	501	0.027277
(22293,22792)(22300,22799)(22300,22800)	Mt	22550	501	0.028775
(22393,22892)(22400,22899)(22400,22900)	Mt	22650	501	0.028712
(22493,22992)(22500,22999)(22500,23000)	Mt	22750	501	0.026418
(22593,23092)(22600,23099)(22600,23100)	Mt	22850	501	0.027970
(22693,23192)(22700,23199)(22700,23200)	Mt	22950	501	0.029233
(22793,23292)(22800,23299)(22800,23300)	Mt	23050	501	0.028332
(22893,23392)(22900,23399)(22900,23400)	Mt	23150	501	0.028582
(22993,23492)(23000,23499)(23000,23500)	Mt	23250	501	0.027498
(23093,23592)(23100,23599)(23100,23600)	Mt	23350	501	0.027693
(23193,23692)(23200,23699)(23200,23700)	Mt	23450	501	0.026158
(23293,23792)(23300,23799)(23300,23800)	Mt	23550	501	0.026751
(23393,23892)(23400,23899)(23400,23900)	Mt	23650	501	0.026513
(23493,23992)(23500,23999)(23500,24000)	Mt	23750	501	0.028417
(23593,24092)(23600,24099)(23600,24100)	Mt	23850	501	0.026563
(23693,24192)(23700,24199)(23700,24200)	Mt	23950	501	0.027826
(23793,24292)(23800,24299)(23800,24300)	Mt	24050	501	0.026568
(23893,24392)(23900,24399)(23900,24400)	Mt	24150	501	0.025386
(23993,24492)(24000,24499)(24000,24500)	Mt	24250	501	0.026789
(24093,24592)(24100,24599)(24100,24600)	Mt	24350	501	0.028928
(24193,24692)(24200,24699)(24200,24700)	Mt	24450	501	0.027345
(24293,24792)(24300,24799)(24300,24800)	Mt	24550	501	0.028333
(24393,24892)(24400,24899)(24400,24900)	Mt	24650	501	0.031551
(24493,24992)(24500,24999)(24500,25000)	Mt	24750	501	0.026028
(24593,25092)(24600,25099)(24600,25100)	Mt	24850	501	0.023234
(24693,25192)(24700,25199)(24700,25200)	Mt	24950	501	0.024643
(24793,25292)(24800,25299)(24800,25300)	Mt	25050	501	0.027757
(24893,25392)(24900,25399)(24900,25400)	Mt	25150	501	0.026843
(24993,25492)(25000,25499)(25000,25500)	Mt	25250	501	0.027378
(25093,25592)(25100,25599)(25100,25600)	Mt	25350	501	0.028980
(25193,25692)(25200,25699)(25200,25700)	Mt	25450	501	0.027538
(25293,25792)(25300,25799)(25300,25800)	Mt	25550	501	0.027603
(25393,25892)(25400,25899)(25400,25900)	Mt	25650	501	0.026953
(25493,25992)(25500,25999)(25500,26000)	Mt	25750	501	0.029178
(25593,26092)(25600,26099)(25600,26100)	Mt	25850	501	0.030143
(25693,26192)(25700,26199)(25700,26200)	Mt	25950	501	0.029936
(25793,26292)(25800,26299)(25800,26300)	Mt	26050	501	0.026850
(25893,26392)(25900,26399)(25900,26400)	Mt	26150	501	0.027224
(25993,26492)(26000,26499)(26000,26500)	Mt	26250	501	0.026899
(26093,26592)(26100,26599)(26100,26600)	Mt	26350	501	0.025066
(26193,26692)(26200,26699)(26200,26700)	Mt	26450	501	0.027069
(26293,26792)(26300,26799)(26300,26800)	Mt	26550	501	0.025595
(26393,26892)(26400,26899)(26400,26900)	Mt	26650	501	0.024178
(26493,26992)(26500,26999)(26500,27000)	Mt	26750	501	0.024093
(26593,27092)(26600,27099)(26600,27100)	Mt	26850	501	0.024738
(26693,27192)(26700,27199)(26700,27200)	Mt	26950	501	0.025216
(26793,27292)(26800,27299)(26800,27300)	Mt	27050	501	0.026915
(26893,27392)(26900,27399)(26900,27400)	Mt	27150	501	0.027765
(26993,27492)(27000,27499)(27000,27500)	Mt	27250	501	0.027371
(27093,27592)(27100,27599)(27100,27600)	Mt	27350	501	0.029145
(27193,27692)(27200,27699)(27200,27700)	Mt	27450	501	0.027079
(27293,27792)(27300,27799)(27300,27800)	Mt	27550	501	0.027192
(27393,27892)(27400,27899)(27400,27900)	Mt	27650	501	0.027824
(27493,27992)(27500,27999)(27500,28000)	Mt	27750	501	0.028735
(27593,28092)(27600,28099)(27600,28100)	Mt	27850	501	0.026753
(27693,28192)(27700,28199)(27700,28200)	Mt	27950	501	0.028385
(27793,28292)(27800,28299)(27800,28300)	Mt	28050	501	0.027866
(27893,28392)(27900,28399)(27900,28400)	Mt	28150	501	0.027696
(27993,28492)(28000,28499)(28000,28500)	Mt	28250	501	0.029191
(28093,28592)(28100,28599)(28100,28600)	Mt	28350	501	0.026863
(28193,28692)(28200,28699)(28200,28700)	Mt	28450	501	0.024997
(28293,28792)(28300,28799)(28300,28800)	Mt	28550	501	0.026988
(28393,28892)(28400,28899)(28400,28900)	Mt	28650	501	0.025915
(28493,28992)(28500,28999)(28500,29000)	Mt	28750	501	0.024174
(28593,29092)(28600,29099)(28600,29100)	Mt	28850	501	0.025810
(28693,29192)(28700,29199)(28700,29200)	Mt	28950	501	0.026007
(28793,29292)(28800,29299)(28800,29300)	Mt	29050	501	0.023997
(28893,29392)(28900,29399)(28900,29400)	Mt	29150	501	0.027290
(28993,29492)(29000,29499)(29000,29500)	Mt	29250	501	0.025746
(29093,29592)(29100,29599)(29100,29600)	Mt	29350	501	0.026479
(29193,29692)(29200,29699)(29200,29700)	Mt	29450	501	0.024099
(29293,29792)(29300,29799)(29300,29800)	Mt	29550	501	0.022376
(29393,29892)(29400,29899)(29400,29900)	Mt	29650	501	0.021738
(29493,29992)(29500,29999)(29500,30000)	Mt	29750	501	0.022646
(29593,30092)(29600,30099)(29600,30100)	Mt	29850	501	0.021242
(29693,30192)(29700,30199)(29700,30200)	Mt	29950	501	0.022668
(29793,30292)(29800,30299)(29800,30300)	Mt	30050	501	0.025007
(29893,30392)(29900,30399)(29900,30400)	Mt	30150	501	0.024356
(29993,30492)(30000,30499)(30000,30500)	Mt	30250	501	0.024366
(30093,30592)(30100,30599)(30100,30600)	Mt	30350	501	0.023393
(30193,30692)(30200,30699)(30200,30700)	Mt	30450	501	0.025964
(30293,30792)(30300,30799)(30300,30800)	Mt	30550	501	0.025389
(30393,30892)(30400,30899)(30400,30900)	Mt	30650	501	0.025306
(30493,30992)(30500,30999)(30500,31000)	Mt	30750	501	0.026875
(30593,31092)(30600,31099)(30600,31100)	Mt	30850	501	0.029214
(30693,31192)(30700,31199)(30700,31200)	Mt	30950	501	0.028218
(30793,31292)(30800,31299)(30800,31300)	Mt	31050	501	0.028536
(30893,31392)(30900,31399)(30900,31400)	Mt	31150	501	0.029112
(30993,31492)(31000,31499)(31000,31500)	Mt	31250	501	0.027176
(31093,31592)(31100,31599)(31100,31600)	Mt	31350	501	0.024483
(31193,31692)(31200,31699)(31200,31700)	Mt	31450	501	0.025038
(31293,31792)(31300,31799)(31300,31800)	Mt	31550	501	0.024959
(31393,31892)(31400,31899)(31400,31900)	Mt	31650	501	0.023221
(31493,31992)(31500,31999)(31500,32000)	Mt	31750	501	0.025332
(31593,32092)(31600,32099)(31600,32100)	Mt	31850	501	0.025702
(31693,32192)(31700,32199)(31700,32200)	Mt	31950	501	0.025320
(31793,32292)(31800,32299)(31800,32300)	Mt	32050	501	0.026894
(31893,32392)(31900,32399)(31900,32400)	Mt	32150	501	0.028307
(31993,32492)(32000,32499)(32000,32500)	Mt	32250	501	0.026520
(32093,32592)(32100,32599)(32100,32600)	Mt	32350	501	0.030175
(32193,32692)(32200,32699)(32200,32700)	Mt	32450	501	0.032387
(32293,32792)(32300,32799)(32300,32800)	Mt	32550	501	0.030810
(32393,32892)(32400,32899)(32400,32900)	Mt	32650	501	0.031135
(32493,32992)(32500,32999)(32500,33000)	Mt	32750	501	0.033751
(32593,33092)(32600,33099)(32600,33100)	Mt	32850	501	0.032438
(32693,33192)(32700,33199)(32700,33200)	Mt	32950	501	0.028959
(32793,33292)(32800,33299)(32800,33300)	Mt	33050	501	0.030708
(32893,33392)(32900,33399)(32900,33400)	Mt	33150	501	0.027471
(32993,33492)(33000,33499)(33000,33500)	Mt	33250	501	0.025868
(33093,33592)(33100,33599)(33100,33600)	Mt	33350	501	0.026155
(33193,33692)(33200,33699)(33200,33700)	Mt	33450	501	0.029882
(33293,33792)(33300,33799)(33300,33800)	Mt	33550	501	0.027575
(33393,33892)(33400,33899)(33400,33900)	Mt	33650	501	0.029443
(33493,33992)(33500,33999)(33500,34000)	Mt	33750	501	0.029644
(33593,34092)(33600,34099)(33600,34100)	Mt	33850	501	0.028420
(33693,34192)(33700,34199)(33700,34200)	Mt	33950	501	0.025079
(33793,34292)(33800,34299)(33800,34300)	Mt	34050	501	0.025073
(33893,34392)(33900,34399)(33900,34400)	Mt	34150	501	0.023512
(33993,34492)(34000,34499)(34000,34500)	Mt	34250	501	0.023234
(34093,34592)(34100,34599)(34100,34600)	Mt	34350	501	0.025383
(34193,34692)(34200,34699)(34200,34700)	Mt	34450	501	0.026549
(34293,34792)(34300,34799)(34300,34800)	Mt	34550	501	0.027520
(34393,34892)(34400,34899)(34400,34900)	Mt	34650	501	0.027786
(34493,34992)(34500,34999)(34500,35000)	Mt	34750	501	0.028687
(34593,35092)(34600,35099)(34600,35100)	Mt	34850	501	0.025609
(34693,35192)(34700,35199)(34700,35200)	Mt	34950	501	0.025201
(34793,35292)(34800,35299)(34800,35300)	Mt	35050	501	0.024822
(34893,35392)(34900,35399)(34900,35400)	Mt	35150	501	0.024629
(34993,35492)(35000,35499)(35000,35500)	Mt	35250	501	0.022360
(35093,35592)(35100,35599)(35100,35600)	Mt	35350	501	0.025888
(35193,35692)(35200,35699)(35200,35700)	Mt	35450	501	0.027946
(35293,35792)(35300,35799)(35300,35800)	Mt	35550	501	0.028533
(35393,35892)(35400,35899)(35400,35900)	Mt	35650	501	0.027832
(35493,35992)(35500,35999)(35500,36000)	Mt	35750	501	0.031304
(35593,36092)(35600,36099)(35600,36100)	Mt	35850	501	0.030014
(35693,36192)(35700,36199)(35700,36200)	Mt	35950	501	0.028233
(35793,36292)(35800,36299)(35800,36300)	Mt	36050	501	0.028663
(35893,36392)(35900,36399)(35900,36400)	Mt	36150	501	0.028589
(35993,36492)(36000,36499)(36000,36500)	Mt	36250	501	0.023431
(36093,36592)(36100,36599)(36100,36600)	Mt	36350	501	0.024301
(36193,36692)(36200,36699)(36200,36700)	Mt	36450	501	0.024535
(36293,36792)(36300,36799)(36300,36800)	Mt	36550	501	0.021927
(36393,36892)(36400,36899)(36400,36900)	Mt	36650	501	0.023687
(36493,36992)(36500,36999)(36500,37000)	Mt	36750	501	0.027075
(36593,37092)(36600,37099)(36600,37100)	Mt	36850	501	0.025947
(36693,37192)(36700,37199)(36700,37200)	Mt	36950	501	0.028295
(36793,37292)(36800,37299)(36800,37300)	Mt	37050	501	0.031211
(36893,37392)(36900,37399)(36900,37400)	Mt	37150	501	0.031146
(36993,37492)(37000,37499)(37000,37500)	Mt	37250	501	0.031037
(37093,37592)(37100,37599)(37100,37600)	Mt	37350	501	0.029078
(37193,37692)(37200,37699)(37200,37700)	Mt	37450	501	0.029388
(37293,37792)(37300,37799)(37300,37800)	Mt	37550	501	0.028107
(37393,37892)(37400,37899)(37400,37900)	Mt	37650	501	0.027236
(37493,37992)(37500,37999)(37500,38000)	Mt	37750	501	0.026680
(37593,38092)(37600,38099)(37600,38100)	Mt	37850	501	0.027916
(37693,38192)(37700,38199)(37700,38200)	Mt	37950	501	0.024855
(37793,38292)(37800,38299)(37800,38300)	Mt	38050	501	0.024334
(37893,38392)(37900,38399)(37900,38400)	Mt	38150	501	0.023550
(37993,38492)(38000,38499)(38000,38500)	Mt	38250	501	0.021569
(38093,38592)(38100,38599)(38100,38600)	Mt	38350	501	0.022357
(38193,38692)(38200,38699)(38200,38700)	Mt	38450	501	0.021106
(38293,38792)(38300,38799)(38300,38800)	Mt	38550	501	0.019319
(38393,38892)(38400,38899)(38400,38900)	Mt	38650	501	0.020890
(38493,38992)(38500,38999)(38500,39000)	Mt	38750	501	0.023802
(38593,39092)(38600,39099)(38600,39100)	Mt	38850	501	0.022098
(38693,39192)(38700,39199)(38700,39200)	Mt	38950	501	0.024010
(38793,39292)(38800,39299)(38800,39300)	Mt	39050	501	0.025475
(38893,39392)(38900,39399)(38900,39400)	Mt	39150	501	0.024912
